code,schemeType,fundType,schemeCategory,plan,schemeMin,sip,investmentObjective,aum,risk,fundManager,schemeName,returnsInception,returnsYear1,returnsYear3,returnsYear5,returnsYear10,ISIN,expenseRatio,taxPeriod,navCode
BN63G-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield; safety and liquidity,1290,3.31035,Mayank Prakash; Vikram Pamnani,BNP Paribas Flexi Debt Growth Direct Plan,9.1329,10.7998,7.739,8.1552,11.46,INF251K01GW0,0.09,1095,150180
BN63DD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,5000,Y,The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield; safety and liquidity,1290,2.58248,Mayank Prakash; Vikram Pamnani,BNP Paribas Flexi Debt Pln Daily Dividend Reinvest Direct Plan,5.0268,7.0516,5.6888,5.7738,8.26,INF251K01GX8,0.09,1095,150179
BN63WD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield; safety and liquidity,1290,2.36974,Mayank Prakash; Vikram Pamnani,BNP Paribas Flexi Debt Weekly Dividend Reinvest Direct Plan,1.2875,3.8165,1.2563,0.6518,0.45,INF251K01GY6,0.09,1095,150184
BN63MD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield; safety and liquidity,1290,4.88364,Mayank Prakash; Vikram Pamnani,BNP Paribas Flexi Debt Monthly Dividend Payout Direct Plan,0.1174,-0.0475,0.5574,0.0481,11.77,INF251K01GZ3,0.09,1095,150182
BN63MD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield; safety and liquidity,1290,4.88364,Mayank Prakash; Vikram Pamnani,BNP Paribas Flexi Debt Monthly Dividend Reinvest Direct Plan,0.1174,-0.0475,0.5574,0.0481,10.32,INF251K01HA4,0.09,1095,150182
DSSG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,4.14178,Suyash Choudhary,IDFC Bond Long Term Growth Direct Plan,9.3366,13.7655,8.5431,8.632,3.65,INF194K01R51,0.09,1095,118394
IDDSSA-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,8.26064,Suyash Choudhary,IDFC Bond Long Term Annual Dividend Reinvest Direct Plan,6.9839,11.3371,6.1195,6.027,2.79,INF194K01R69,2.29,365,118393
IDDSSA-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,8.26064,Suyash Choudhary,IDFC Bond Long Term Annual Dividend Payout Direct Plan,6.9839,11.3371,6.1195,6.027,4.38,INF194K01R77,2.29,365,118393
IDDSSAP-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,8.26064,Suyash Choudhary,IDFC Bond Long Term Annual Dividend Reinvest Direct Plan,6.9839,11.3371,6.1195,6.027,5.84,INF194K01R77,0.51,1095,118393
IDDSSD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,6.90352,Suyash Choudhary,IDFC Bond Long Term Quarterly Dividend Reinvest Direct Plan,7.0304,11.3531,6.7505,6.4342,10.31,INF194K01S27,0.51,1095,118396
IDDSSD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,6.90352,Suyash Choudhary,IDFC Bond Long Term Quarterly Dividend Payout Direct Plan,7.0304,11.3531,6.7505,6.4342,4.67,INF194K01S35,1.39,1095,118396
IDDSSDP-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over long term such that the Macaulay duration of the portfolio is greater than 7 years.,6830,6.90352,Suyash Choudhary,IDFC Bond Long Term Quarterly Dividend Reinvest Direct Plan,7.0304,11.3531,6.7505,6.4342,9.32,INF194K01S35,0.47,365,118396
DMTG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,1.83355,Suyash Choudhary,IDFC Bond Medium Term Growth Direct Plan,8.6489,10.7273,8.0972,8.4306,6.3,INF194K01S50,0.47,365,118401
IDDMND-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,2.01743,Suyash Choudhary,IDFC Bond Medium Term Daily Dividend Reinvest Direct Plan,5.0044,2.7081,4.0893,4.4097,10.64,INF194K01S68,0.47,365,118400
IDD259-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,4.36368,Suyash Choudhary,IDFC Bond Medium Term Quarterly Dividend Reinvest Direct Plan,6.1714,5.3213,5.2242,5.6462,7.6,INF194K01S84,0.55,365,118403
BS341GZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,The investment objective of the Scheme is to generate income and capital appreciation by investing 100% of the corpus in a diversified portfolio of debt and money market securities.,30350,1.579,Maneesh Dangi; Kaustubh Gupta,Aditya Birla Sun Life Short Term Opportunities Growth Direct Plan,9.2986,8.5095,7.9109,8.4431,4.96,INF209K01XK8,0.55,365,119498
BS341QZ-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,1000,Y,The investment objective of the Scheme is to generate income and capital appreciation by investing 100% of the corpus in a diversified portfolio of debt and money market securities.,30350,2.73607,Maneesh Dangi; Kaustubh Gupta,Aditya Birla Sun Life Short Term Opportunities Dividend Reinvest Direct Plan,7.3994,2.0234,3.4909,5.7519,0.54,INF209K01XL6,0.55,365,119496
BS402AZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,The Scheme aims to generate income and capital appreciation through investments exclusively in Government Securities.,2300,5.03854,Pranay Sinha,Aditya Birla Sun Life Government Securities Growth Direct Plan,10.2785,14.4055,9.9306,9.6131,5.56,INF209K01XP7,0.28,1095,119605
BS402GZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,The Scheme aims to generate income and capital appreciation through investments exclusively in Government Securities.,2300,5.03854,Pranay Sinha,Aditya Birla Sun Life Government Securities Instant Gain Growth Direct Plan,10.2785,14.4055,9.9306,9.6131,10.86,INF209K01XQ5,0.1,1095,999999
BS43NZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,100,Y,The objective of the scheme is to provide income which is consistent with a portfolio through investments in a basket of debt and money market instruments of short maturities with a view to provide reasonable returns.,121500,0.591319,Kaustubh Gupta; Mohit Sharma,Aditya Birla Sun Life Low Duration Growth Direct Plan,8.8384,8.554,8.1025,8.4557,8.43,INF209K01XU7,0.1,1095,119523
BS48NZ-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,100,Y,The objective of the scheme is to provide income which is consistent with a portfolio through investments in a basket of debt and money market instruments of short maturities with a view to provide reasonable returns.,121500,0.395217,Kaustubh Gupta; Mohit Sharma,Aditya Birla Sun Life Low Duration Daily Dividend Reinvest Direct Plan,6.3423,5.9471,5.6703,5.9171,4.67,INF209K01XW3,0.1,1095,119524
BS51Z-GR,Open Ended,Equity,Equity,GROWTH,100,Y,Long term growth of capital through a portfolio with a target allocation of 90% and 10% debt and money market securities,115820,15.1135,Anil Shah,Aditya Birla Sun Life Equity Growth Direct Plan,12.925,-10.9404,2.6384,5.8248,3.38,INF209K01XX1,0.29,1095,120564
BS52DZ-DR,Open Ended,Equity,Equity,AS N WHEN,100,N,Long term growth of capital through a portfolio with a target allocation of 90% and 10% debt and money market securities,115820,16.4474,Anil Shah,Aditya Birla Sun Life Equity Dividend Reinvest Direct Plan,12.3287,-12.0577,1.4546,5.0865,9.04,INF209K01XY9,0.29,1095,120565
BS85NDZ-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,1000,Y,To generate reasonable returns by primarily investing in debt and money market securities that are issued by Banks; Public Sector Undertakings (PSUs) and Public Financial Institutions (PFIs) in India.,100560,2.39169,Maneesh Dangi; Kaustubh Gupta,Aditya Birla Sun Life Banking & PSU Debt Monthly Dividend Payout Direct Plan,7.1607,8.7769,6.4988,6.6583,8.25,INF209K01YM2,0.29,1095,119552
LT242DP-DP,Open Ended,Hybrid,Equity,DIVIDEND QUARTERLY,5000,N,To generate monthly income throughinvestments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme.,1020,6.08004,Venugopal M; Praveen Ayathan; Vihang Naik,L&T Equity Saving Qtrly Dividend Payout Direct Plan,4.133,-6.1212,2.0099,1.5532,7.36,INF917K01GD6,0.29,1095,119801
LT243D-GR,Open Ended,Hybrid,Equity,GROWTH,5000,Y,To generate monthly income throughinvestments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme.,1020,5.29028,Venugopal M; Praveen Ayathan; Vihang Naik,L&T Equity Saving Growth Direct Plan,6.4594,-5.7271,2.3559,3.6351,11.34,INF917K01GE4,0.29,1095,119802
LT203D-GR,Open Ended,Hybrid,Debt - Bonds,GROWTH,10000,Y,To generate regular income through investments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized.,350,3.87546,Venugopal M; Vihang Naik,L&T Conservative Hybrid Growth Direct Plan,7.4917,5.1291,6.0379,5.8609,3.25,INF917K01GF1,0.29,1095,119852
LT201D-DP,Open Ended,Hybrid,Debt - Bonds,DIVIDEND MONTHLY,10000,Y,To generate regular income through investments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized.,350,4.63108,Venugopal M; Vihang Naik,L&T Conservative Hybrid Monthly Dividend Payout Direct Plan,5.4314,3.511,4.2066,4.0061,7.11,INF917K01GG9,0.29,1095,119853
LT201D-DR,Open Ended,Hybrid,Debt - Bonds,DIVIDEND MONTHLY,10000,Y,To generate regular income through investments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized.,350,4.63108,Venugopal M; Vihang Naik,L&T Conservative Hybrid Monthly Dividend Reinvest Direct Plan,5.4314,3.511,4.2066,4.0061,9.64,INF917K01GG9,0.4,1095,119853
LT202D-DP,Open Ended,Hybrid,Debt - Bonds,DIVIDEND QUARTERLY,10000,Y,To generate regular income through investments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized.,350,5.56097,Venugopal M; Vihang Naik,L&T Conservative Hybrid Quarterly Dividend Payout Direct Plan,5.0722,2.8019,3.8181,3.5774,4.54,INF917K01GI5,0.4,1095,119854
LT202D-DR,Open Ended,Hybrid,Debt - Bonds,DIVIDEND QUARTERLY,10000,Y,To generate regular income through investments in a range of Debt; Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized.,350,5.56097,Venugopal M; Vihang Naik,L&T Conservative Hybrid Quarterly Dividend Reinvest Direct Plan,5.0722,2.8019,3.8181,3.5774,9.55,INF917K01GI5,0.4,1095,119854
LTFSIDD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,10000,Y,To generate reasonable returns primarily through investments in fixed income securities and money market instruments. There is no assurance that the objective of the Scheme will be realised and the Scheme does not assure or guarantee any returns.,8750,2.58469,Shriram Ramanathan; Vikas Garg,L&T Low Duration Dividend Reinvest Direct Plan,6.5277,3.6863,4.9803,6.0394,7.1,INF917K01GK1,0.4,1095,119808
LTFSIGD-GR,Open Ended,Debt,Debt - Bonds,GROWTH,10000,Y,To generate reasonable returns primarily through investments in fixed income securities and money market instruments. There is no assurance that the objective of the Scheme will be realised and the Scheme does not assure or guarantee any returns.,8750,1.54663,Shriram Ramanathan; Vikas Garg,L&T Low Duration Growth Direct Plan,8.4162,5.4676,6.9729,8.082,5.49,INF917K01GM7,0.4,1095,119809
LTFTADP-DP,Open Ended,Equity,ELSS,AS N WHEN,500,Y,To generate long-term capital growth from a diversified portfolio of predominantly equity and equity-related securities,32060,15.5433,Venugopal M; Vihang Naik,L&T Tax Advantage Dividend Payout Direct Plan,7.7545,-14.6732,-1.8153,1.2127,9.54,INF917K01GO3,0.67,1095,119418
IDD273-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,100,Y,The Scheme seeks to offer an investment avenue for short term savings by looking to generate returns commensurate with a low risk strategy from a portfolio that is invested in debt and money market securities such that the Macaulay duration of the portfolio is between 6 months and 12 months.,62210,0.562763,Anurag Mittal,IDFC Low Duration Periodic Dividend Payout Direct Plan,7.7462,8.1164,7.6708,8.1118,0.72,INF194K01K82,0.67,1095,118370
IDD273P-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,100,Y,The Scheme seeks to offer an investment avenue for short term savings by looking to generate returns commensurate with a low risk strategy from a portfolio that is invested in debt and money market securities such that the Macaulay duration of the portfolio is between 6 months and 12 months.,62210,0.562763,Anurag Mittal,IDFC Low Duration Periodic Dividend Reinvest Direct Plan,7.7462,8.1164,7.6708,8.1118,11.53,INF194K01K82,0.67,1095,118370
IDD273-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,100,N,The Scheme seeks to offer an investment avenue for short term savings by looking to generate returns commensurate with a low risk strategy from a portfolio that is invested in debt and money market securities such that the Macaulay duration of the portfolio is between 6 months and 12 months.,62210,0.562763,Anurag Mittal,IDFC Low Duration Periodic Dividend Reinvest Direct Plan,7.7462,8.1164,7.6708,8.1118,11.64,INF194K01K90,0.67,1095,118370
DFRG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,100,Y,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,0.529228,Anurag Mittal; Harshal Joshi,IDFC Money Manager Growth Direct Plan,8.1031,7.0525,6.9304,7.6238,10.55,INF194K01M80,0.67,1095,118384
IDDFRD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,100,Y,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,0.271773,Anurag Mittal; Harshal Joshi,IDFC Money Manager Daily Dividend Reinvest Direct Plan,5.449,1.7787,3.7747,4.7262,11.66,INF194K01M98,1.28,1095,118383
IDDFRM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,100,N,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,2.39459,Anurag Mittal; Harshal Joshi,IDFC Money Manager Monthly Dividend Reinvest Direct Plan,5.4113,1.7376,3.8448,4.7426,7.67,INF194K01N14,1.28,1095,118385
IDDFRM-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,100,Y,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,2.39459,Anurag Mittal; Harshal Joshi,IDFC Money Manager Monthly Dividend Payout Direct Plan,5.4113,1.7376,3.8448,4.7426,10.53,INF194K01N22,1.28,1095,118385
IDDFRMP-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,100,Y,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,2.39459,Anurag Mittal; Harshal Joshi,IDFC Money Manager Monthly Dividend Reinvest Direct Plan,5.4113,1.7376,3.8448,4.7426,4.7,INF194K01N22,1.28,1095,118385
IDDFRW-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,100,Y,Seek to generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments; fixed rate debt or money market instruments swapped for floating returns and fixed rate debt and money market instruments. However; there can be no assurance that the investment objectives of the scheme will be realized.,23500,0.940578,Anurag Mittal; Harshal Joshi,IDFC Money Manager Weekly Dividend Reinvest Direct Plan,5.5224,1.7211,3.8381,4.804,0.44,INF194K01N48,1.28,1095,118386
D82-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The investment objective of the scheme is to generate optimal returns with high liquidity by active management of the portfolio; by investing in high quality money market & debt instruments.,20770,4.14755,Suyash Choudhary,IDFC Dynamic Bond Growth Direct Plan,9.7089,14.7156,8.9812,9.0309,0.34,INF194K01N63,1.28,1095,118416
CACYDM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,To generate returns by investing in a wide range of debt securities and money market instruments of various maturities and risk profile. However; there is no assurance that the objective of the Fund will be realised.,5760,1.67168,Suman Prasad,Canara Robeco Short Duration Monthly Dividend Reinvest Direct Plan,6.8542,6.9975,5.5062,6.4905,0.64,INF760K01DW7,1.28,1095,118321
CACYDG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To generate returns by investing in a wide range of debt securities and money market instruments of various maturities and risk profile. However; there is no assurance that the objective of the Fund will be realised.,5760,1.26162,Suman Prasad,Canara Robeco Short Duration Growth Direct Plan,7.8918,8.8754,7.7487,7.9806,0.58,INF760K01DX5,0.76,1095,118320
CACYQD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate returns by investing in a wide range of debt securities and money market instruments of various maturities and risk profile. However; there is no assurance that the objective of the Fund will be realised.,5760,2.66484,Suman Prasad,Canara Robeco Short Duration Quarterly Dividend Payout Direct Plan,6.7973,6.2909,5.6618,6.4078,7.89,INF760K01DY3,0.76,1095,118322
CACYQD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate returns by investing in a wide range of debt securities and money market instruments of various maturities and risk profile. However; there is no assurance that the objective of the Fund will be realised.,5760,2.66484,Suman Prasad,Canara Robeco Short Duration Quarterly Dividend Reinvest Direct Plan,6.7973,6.2909,5.6618,6.4078,10.36,INF760K01DZ0,0.76,1095,118322
CADBDD-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate income from a portfolio constituted of short to medium term debt and money market securities.,1090,5.71531,Girish Hisaria,Canara Robeco Dynamic Bond Dividendpayout Dividend Payout Direct Plan,6.3411,9.3525,4.7022,5.6866,2.22,INF760K01EA1,0.43,1095,118283
CADBDD-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate income from a portfolio constituted of short to medium term debt and money market securities.,1090,5.71531,Girish Hisaria,Canara Robeco Dynamic Bond Dividendreinvestment Dividend Reinvest Direct Plan,6.3411,9.3525,4.7022,5.6866,5.57,INF760K01EB9,0.43,1095,118283
CADBDG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To generate income from a portfolio constituted of short to medium term debt and money market securities.,1090,3.80681,Girish Hisaria,Canara Robeco Dynamic Bond Growth Direct Plan,9.0727,11.4439,7.2857,8.0028,1.76,INF760K01EC7,0.58,1095,118284
CADVDD-DP,Open Ended,Equity,Equity,DIVIDEND ANNUAL,5000,Y,To generate capital appreciation by investing in equity and equity related securities.,17710,15.4833,Shridatta Bhandwaldar; Miyush Gandhi,Canara Robeco Equity Diversified Dividend Payout Direct Plan,7.4963,-5.39,2.1212,1.4543,11.88,INF760K01ED5,0.58,1095,118276
CADVDG-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To generate capital appreciation by investing in equity and equity related securities.,17710,14.89,Shridatta Bhandwaldar; Miyush Gandhi,Canara Robeco Equity Diversified Growth Direct Plan,10.4002,-4.0053,8.5656,5.2796,9.5,INF760K01EF0,0.37,1095,118275
UTFSD3-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To Generate regular income through investment in a portfolio comprising substanially of floating rate debt / money market instruments and fixed rate debt / money market instruments.,20420,0.643606,Sudhir Agrawal; Ritesh Nambiar,UTI Ultra Short Term Growth Direct Plan,8.0507,3.3266,6.069,7.275,5.23,INF789F01TI1,0.37,1095,120746
UTGLD1-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate credit risk-free return through investments in sovereign securities issued by the central and/or a state government.,5020,5.06141,Amandeep S Chopra,UTI Gilt Dividend Payout Direct Plan,8.8675,13.4801,7.7158,8.0411,5.86,INF789F01TJ9,0.99,365,120791
UTGLD1-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate credit risk-free return through investments in sovereign securities issued by the central and/or a state government.,5020,5.06141,Amandeep S Chopra,UTI Gilt Dividend Reinvest Direct Plan,8.8675,13.4801,7.7158,8.0411,8.1,INF789F01TK7,0.99,365,120791
UTGLD2-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To generate credit risk-free return through investments in sovereign securities issued by the central and/or a state government.,5020,4.56463,Amandeep S Chopra,UTI Gilt Growth Direct Plan,9.9149,15.3006,8.7717,9.0671,2.93,INF789F01TL5,0.34,1095,120792
UTGPD1-DP,Open Ended,Equity,Equity,DIVIDEND ANNUAL,5000,Y,An open-ended fund which exclusively invests in the equities of the Pharma & Healthcare sector companies. This fund is one of the growth sector funds aiming to invest in companies engaged in business of manufacturing and marketing of bulk drug; formulations and healthcare products and services.,3900,15.3427,V Srivatsa,UTI Healthcare Dividend Payout Direct Plan,8.4399,-5.7467,-2.0627,-3.0241,7.66,INF789F01TM3,0.64,365,120783
UTGPD1-DR,Open Ended,Equity,Equity,DIVIDEND ANNUAL,5000,Y,An open-ended fund which exclusively invests in the equities of the Pharma & Healthcare sector companies. This fund is one of the growth sector funds aiming to invest in companies engaged in business of manufacturing and marketing of bulk drug; formulations and healthcare products and services.,3900,15.3427,V Srivatsa,UTI Healthcare Dividend Reinvest Direct Plan,8.4399,-5.7467,-2.0627,-3.0241,2.99,INF789F01TN1,0.64,365,120783
UTGPD2-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,An open-ended fund which exclusively invests in the equities of the Pharma & Healthcare sector companies. This fund is one of the growth sector funds aiming to invest in companies engaged in business of manufacturing and marketing of bulk drug; formulations and healthcare products and services.,3900,15.3431,V Srivatsa,UTI Healthcare Growth Direct Plan,8.4384,-5.7466,-2.0627,-3.0242,0.64,INF789F01TO9,1.79,1095,120782
UTIND1-DP,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide income distribution and / or medium to long term “capital appreciation” by investing predominantly in equity / equity related instruments in the companies engaged either directly or indirectly in the infrastructure growth of the Indian economy.,11770,18.3082,Sanjay Dongre,UTI Infrastructure Dividend Payout Direct Plan,5.713,-14.7461,-1.2983,-0.0015,6.23,INF789F01TS0,1.79,1095,120729
UTIND1-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide income distribution and / or medium to long term “capital appreciation” by investing predominantly in equity / equity related instruments in the companies engaged either directly or indirectly in the infrastructure growth of the Indian economy.,11770,18.3082,Sanjay Dongre,UTI Infrastructure Dividend Reinvest Direct Plan,5.713,-14.7461,-1.2983,-0.0015,4.39,INF789F01TT8,1.79,1095,120729
UTIND2-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To provide income distribution and / or medium to long term “capital appreciation” by investing predominantly in equity / equity related instruments in the companies engaged either directly or indirectly in the infrastructure growth of the Indian economy.,11770,18.229,Sanjay Dongre,UTI Infrastructure Growth Direct Plan,5.7551,-14.7458,-1.2597,0.0506,4.42,INF789F01TU6,1.79,1095,120728
DS835-GR,Open Ended,Hybrid,Equity,GROWTH,500,Y,The investment objective of the Scheme is to generate income through investments in fixed income securities and using arbitrage and other derivative Strategies. The Scheme also intends to generate long-term capital appreciation by investing a portion of the Scheme’s assets in equity and equity related instruments.,7560,5.64056,Gopal Agrawal; Jay Kothari; Saurabh Bhatia,DSP Equity Saving Growth Direct Plan,6.5033,-1.319,4.3197,0,1,INF740KA1504,1.79,1095,136567
DS836-DP,Open Ended,Hybrid,Equity,AS N WHEN,500,Y,The investment objective of the Scheme is to generate income through investments in fixed income securities and using arbitrage and other derivative Strategies. The Scheme also intends to generate long-term capital appreciation by investing a portion of the Scheme’s assets in equity and equity related instruments.,7560,7.15016,Gopal Agrawal; Jay Kothari; Saurabh Bhatia,DSP Equity Saving Dividend Payout Direct Plan,6.3149,-2.0408,4.0677,0,1.82,INF740KA1512,0.46,1095,136568
DS836-DR,Open Ended,Hybrid,Equity,AS N WHEN,500,Y,The investment objective of the Scheme is to generate income through investments in fixed income securities and using arbitrage and other derivative Strategies. The Scheme also intends to generate long-term capital appreciation by investing a portion of the Scheme’s assets in equity and equity related instruments.,7560,7.15016,Gopal Agrawal; Jay Kothari; Saurabh Bhatia,DSP Equity Saving Dividend Reinvest Direct Plan,6.3149,-2.0408,4.0677,0,11.94,INF740KA1512,0.46,1095,136568
DS838-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,500,Y,The investment objective of the Scheme is to generate income through investments in fixed income securities and using arbitrage and other derivative Strategies. The Scheme also intends to generate long-term capital appreciation by investing a portion of the Scheme’s assets in equity and equity related instruments.,7560,5.86155,Gopal Agrawal; Jay Kothari; Saurabh Bhatia,DSP Equity Saving Monthly Dividend Payout Direct Plan,6.3403,-1.843,4.0994,0,11.85,INF740KA1538,1.44,365,136569
DS838-DR,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,500,Y,The investment objective of the Scheme is to generate income through investments in fixed income securities and using arbitrage and other derivative Strategies. The Scheme also intends to generate long-term capital appreciation by investing a portion of the Scheme’s assets in equity and equity related instruments.,7560,5.86155,Gopal Agrawal; Jay Kothari; Saurabh Bhatia,DSP Equity Saving Monthly Dividend Reinvest Direct Plan,6.3403,-1.843,4.0994,0,8.5,INF740KA1538,0.26,1095,136569
